2025-01-28 07:11:36 status unpacked libhogweed6:arm64 3.8.1-2
2025-01-28 07:11:36 install libidn2-0:arm64 <none> 2.3.3-1+b1
2025-01-28 07:11:36 status half-installed libidn2-0:arm64 2.3.3-1+b1
2025-01-28 07:11:36 status unpacked libidn2-0:arm64 2.3.3-1+b1
2025-01-28 07:11:36 install liblz4-1:arm64 <none> 1.9.4-1
2025-01-28 07:11:36 status half-installed liblz4-1:arm64 1.9.4-1
2025-01-28 07:11:37 status unpacked liblz4-1:arm64 1.9.4-1
2025-01-28 07:11:37 install liblzma5:arm64 <none> 5.4.1-0.2
2025-01-28 07:11:37 status half-installed liblzma5:arm64 5.4.1-0.2
2025-01-28 07:11:37 status unpacked liblzma5:arm64 5.4.1-0.2
2025-01-28 07:11:37 install libmd0:arm64 <none> 1.0.4-2
2025-01-28 07:11:37 status half-installed libmd0:arm64 1.0.4-2
2025-01-28 07:11:37 status unpacked libmd0:arm64 1.0.4-2
2025-01-28 07:11:37 install libmount1:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:37 status half-installed libmount1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:37 status unpacked libmount1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:38 install libnettle8:arm64 <none> 3.8.1-2
2025-01-28 07:11:38 status half-installed libnettle8:arm64 3.8.1-2
2025-01-28 07:11:38 status unpacked libnettle8:arm64 3.8.1-2
2025-01-28 07:11:38 install libp11-kit0:arm64 <none> 0.24.1-2
2025-01-28 07:11:38 status half-installed libp11-kit0:arm64 0.24.1-2
2025-01-28 07:11:38 status unpacked libp11-kit0:arm64 0.24.1-2
2025-01-28 07:11:38 install libpam-modules:arm64 <none> 1.5.2-6+deb12u1
2025-01-28 07:11:38 status half-installed libpam-modules:arm64 1.5.2-6+deb12u1
2025-01-28 07:11:39 status unpacked libpam-modules:arm64 1.5.2-6+deb12u1
2025-01-28 07:11:40 install libpam-modules-bin:arm64 <none> 1.5.2-6+deb12u1
2025-01-28 07:11:40 status half-installed libpam-modules-bin:arm64 1.5.2-6+deb12u1
2025-01-28 07:11:40 status unpacked libpam-modules-bin:arm64 1.5.2-6+deb12u1
2025-01-28 07:11:40 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2025-01-28 07:11:40 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2025-01-28 07:11:40 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2025-01-28 07:11:40 install libpam0g:arm64 <none> 1.5.2-6+deb12u1
2025-01-28 07:11:40 status half-installed libpam0g:arm64 1.5.2-6+deb12u1
2025-01-28 07:11:40 status unpacked libpam0g:arm64 1.5.2-6+deb12u1
2025-01-28 07:11:41 install libpcre2-8-0:arm64 <none> 10.42-1
2025-01-28 07:11:41 status half-installed libpcre2-8-0:arm64 10.42-1
2025-01-28 07:11:41 status unpacked libpcre2-8-0:arm64 10.42-1
2025-01-28 07:11:41 install libseccomp2:arm64 <none> 2.5.4-1+deb12u1
2025-01-28 07:11:41 status half-installed libseccomp2:arm64 2.5.4-1+deb12u1
2025-01-28 07:11:41 status unpacked libseccomp2:arm64 2.5.4-1+deb12u1
2025-01-28 07:11:41 install libselinux1:arm64 <none> 3.4-1+b6
2025-01-28 07:11:41 status half-installed libselinux1:arm64 3.4-1+b6
2025-01-28 07:11:41 status unpacked libselinux1:arm64 3.4-1+b6
2025-01-28 07:11:42 install libsemanage-common:all <none> 3.4-1
2025-01-28 07:11:42 status half-installed libsemanage-common:all 3.4-1
2025-01-28 07:11:42 status unpacked libsemanage-common:all 3.4-1
2025-01-28 07:11:42 install libsemanage2:arm64 <none> 3.4-1+b5
2025-01-28 07:11:42 status half-installed libsemanage2:arm64 3.4-1+b5
2025-01-28 07:11:42 status unpacked libsemanage2:arm64 3.4-1+b5
2025-01-28 07:11:42 install libsepol2:arm64 <none> 3.4-2.1
2025-01-28 07:11:42 status half-installed libsepol2:arm64 3.4-2.1
2025-01-28 07:11:42 status unpacked libsepol2:arm64 3.4-2.1
2025-01-28 07:11:43 install libsmartcols1:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:43 status half-installed libsmartcols1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:43 status unpacked libsmartcols1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:43 install libss2:arm64 <none> 1.47.0-2
2025-01-28 07:11:43 status half-installed libss2:arm64 1.47.0-2
2025-01-28 07:11:43 status unpacked libss2:arm64 1.47.0-2
2025-01-28 07:11:43 install libstdc++6:arm64 <none> 12.2.0-14
2025-01-28 07:11:43 status half-installed libstdc++6:arm64 12.2.0-14
2025-01-28 07:11:43 status unpacked libstdc++6:arm64 12.2.0-14
2025-01-28 07:11:44 install libsystemd0:arm64 <none> 252.33-1~deb12u1
2025-01-28 07:11:44 status half-installed libsystemd0:arm64 252.33-1~deb12u1
2025-01-28 07:11:44 status unpacked libsystemd0:arm64 252.33-1~deb12u1
2025-01-28 07:11:44 install libtasn1-6:arm64 <none> 4.19.0-2
2025-01-28 07:11:44 status half-installed libtasn1-6:arm64 4.19.0-2
2025-01-28 07:11:44 status unpacked libtasn1-6:arm64 4.19.0-2
2025-01-28 07:11:44 install libtinfo6:arm64 <none> 6.4-4
2025-01-28 07:11:44 status half-installed libtinfo6:arm64 6.4-4
2025-01-28 07:11:44 status unpacked libtinfo6:arm64 6.4-4
2025-01-28 07:11:45 install libudev1:arm64 <none> 252.33-1~deb12u1
2025-01-28 07:11:45 status half-installed libudev1:arm64 252.33-1~deb12u1
2025-01-28 07:11:45 status unpacked libudev1:arm64 252.33-1~deb12u1
2025-01-28 07:11:45 install libunistring2:arm64 <none> 1.0-2
2025-01-28 07:11:45 status half-installed libunistring2:arm64 1.0-2
2025-01-28 07:11:45 status unpacked libunistring2:arm64 1.0-2
2025-01-28 07:11:45 install libuuid1:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:45 status half-installed libuuid1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:45 status unpacked libuuid1:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:46 install libxxhash0:arm64 <none> 0.8.1-1
2025-01-28 07:11:46 status half-installed libxxhash0:arm64 0.8.1-1
2025-01-28 07:11:46 status unpacked libxxhash0:arm64 0.8.1-1
2025-01-28 07:11:46 install libzstd1:arm64 <none> 1.5.4+dfsg2-5
2025-01-28 07:11:46 status half-installed libzstd1:arm64 1.5.4+dfsg2-5
2025-01-28 07:11:46 status unpacked libzstd1:arm64 1.5.4+dfsg2-5
2025-01-28 07:11:46 install login:arm64 <none> 1:4.13+dfsg1-1+b1
2025-01-28 07:11:46 status half-installed login:arm64 1:4.13+dfsg1-1+b1
2025-01-28 07:11:47 status unpacked login:arm64 1:4.13+dfsg1-1+b1
2025-01-28 07:11:47 install logsave:arm64 <none> 1.47.0-2
2025-01-28 07:11:47 status half-installed logsave:arm64 1.47.0-2
2025-01-28 07:11:47 status unpacked logsave:arm64 1.47.0-2
2025-01-28 07:11:47 upgrade mawk:arm64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-01-28 07:11:47 status half-configured mawk:arm64 1.3.4.20200120-3.1
2025-01-28 07:11:47 status unpacked mawk:arm64 1.3.4.20200120-3.1
2025-01-28 07:11:47 status half-installed mawk:arm64 1.3.4.20200120-3.1
2025-01-28 07:11:47 status unpacked mawk:arm64 1.3.4.20200120-3.1
2025-01-28 07:11:48 install mount:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:48 status half-installed mount:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:48 status unpacked mount:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:48 install ncurses-base:all <none> 6.4-4
2025-01-28 07:11:48 status half-installed ncurses-base:all 6.4-4
2025-01-28 07:11:48 status unpacked ncurses-base:all 6.4-4
2025-01-28 07:11:48 install ncurses-bin:arm64 <none> 6.4-4
2025-01-28 07:11:48 status half-installed ncurses-bin:arm64 6.4-4
2025-01-28 07:11:48 status unpacked ncurses-bin:arm64 6.4-4
2025-01-28 07:11:49 install passwd:arm64 <none> 1:4.13+dfsg1-1+b1
2025-01-28 07:11:49 status half-installed passwd:arm64 1:4.13+dfsg1-1+b1
2025-01-28 07:11:49 status unpacked passwd:arm64 1:4.13+dfsg1-1+b1
2025-01-28 07:11:49 upgrade perl-base:arm64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2025-01-28 07:11:49 status half-configured perl-base:arm64 5.36.0-7+deb12u1
2025-01-28 07:11:50 status unpacked perl-base:arm64 5.36.0-7+deb12u1
2025-01-28 07:11:50 status half-installed perl-base:arm64 5.36.0-7+deb12u1
2025-01-28 07:11:51 status unpacked perl-base:arm64 5.36.0-7+deb12u1
2025-01-28 07:11:51 install sed:arm64 <none> 4.9-1
2025-01-28 07:11:51 status half-installed sed:arm64 4.9-1
2025-01-28 07:11:51 status unpacked sed:arm64 4.9-1
2025-01-28 07:11:51 install sysvinit-utils:arm64 <none> 3.06-4
2025-01-28 07:11:51 status half-installed sysvinit-utils:arm64 3.06-4
2025-01-28 07:11:52 status unpacked sysvinit-utils:arm64 3.06-4
2025-01-28 07:11:52 install tar:arm64 <none> 1.34+dfsg-1.2+deb12u1
2025-01-28 07:11:52 status half-installed tar:arm64 1.34+dfsg-1.2+deb12u1
2025-01-28 07:11:52 status unpacked tar:arm64 1.34+dfsg-1.2+deb12u1
2025-01-28 07:11:52 install tzdata:all <none> 2024b-0+deb12u1
2025-01-28 07:11:52 status half-installed tzdata:all 2024b-0+deb12u1
2025-01-28 07:11:55 status unpacked tzdata:all 2024b-0+deb12u1
2025-01-28 07:11:55 install usr-is-merged:all <none> 37~deb12u1
2025-01-28 07:11:55 status half-installed usr-is-merged:all 37~deb12u1
2025-01-28 07:11:56 status unpacked usr-is-merged:all 37~deb12u1
2025-01-28 07:11:56 install util-linux:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:56 status half-installed util-linux:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:56 status unpacked util-linux:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:57 install util-linux-extra:arm64 <none> 2.38.1-5+deb12u3
2025-01-28 07:11:57 status half-installed util-linux-extra:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:57 status unpacked util-linux-extra:arm64 2.38.1-5+deb12u3
2025-01-28 07:11:57 install zlib1g:arm64 <none> 1:1.2.13.dfsg-1
2025-01-28 07:11:57 status half-installed zlib1g:arm64 1:1.2.13.dfsg-1
2025-01-28 07:11:57 status unpacked zlib1g:arm64 1:1.2.13.dfsg-1
2025-01-28 07:11:57 startup packages configure
2025-01-28 07:11:57 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2025-01-28 07:11:57 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 07:11:57 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 07:12:00 status installed debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 07:12:00 configure usr-is-merged:all 37~deb12u1 <none>
2025-01-28 07:12:00 status unpacked usr-is-merged:all 37~deb12u1
2025-01-28 07:12:00 status half-configured usr-is-merged:all 37~deb12u1
2025-01-28 07:12:00 status installed usr-is-merged:all 37~deb12u1
2025-01-28 07:12:00 configure libaudit-common:all 1:3.0.9-1 <none>
2025-01-28 07:12:00 status unpacked libaudit-common:all 1:3.0.9-1
2025-01-28 07:12:00 status half-configured libaudit-common:all 1:3.0.9-1
2025-01-28 07:12:00 status installed libaudit-common:all 1:3.0.9-1
2025-01-28 07:12:00 configure libsemanage-common:all 3.4-1 <none>
2025-01-28 07:12:00 status unpacked libsemanage-common:all 3.4-1
2025-01-28 07:12:00 status half-configured libsemanage-common:all 3.4-1
2025-01-28 07:12:00 status installed libsemanage-common:all 3.4-1
2025-01-28 07:12:00 configure debconf:all 1.5.82 <none>
2025-01-28 07:12:00 status unpacked debconf:all 1.5.82
2025-01-28 07:12:00 status half-configured debconf:all 1.5.82
2025-01-28 07:12:01 status installed debconf:all 1.5.82
2025-01-28 07:12:01 configure gcc-12-base:arm64 12.2.0-14 <none>
2025-01-28 07:12:01 status unpacked gcc-12-base:arm64 12.2.0-14
2025-01-28 07:12:01 status half-configured gcc-12-base:arm64 12.2.0-14
2025-01-28 07:12:01 status installed gcc-12-base:arm64 12.2.0-14
2025-01-28 07:12:01 configure tzdata:all 2024b-0+deb12u1 <none>
2025-01-28 07:12:01 status unpacked tzdata:all 2024b-0+deb12u1
2025-01-28 07:12:01 status half-configured tzdata:all 2024b-0+deb12u1
2025-01-28 07:12:04 status installed tzdata:all 2024b-0+deb12u1
2025-01-28 07:12:04 configure ncurses-base:all 6.4-4 <none>
2025-01-28 07:12:04 status unpacked ncurses-base:all 6.4-4
2025-01-28 07:12:04 status half-configured ncurses-base:all 6.4-4
2025-01-28 07:12:04 status installed ncurses-base:all 6.4-4
2025-01-28 07:12:04 configure init-system-helpers:all 1.65.2 <none>
2025-01-28 07:12:04 status unpacked init-system-helpers:all 1.65.2
2025-01-28 07:12:04 status half-configured init-system-helpers:all 1.65.2
2025-01-28 07:12:04 status installed init-system-helpers:all 1.65.2
